player_id,name,hand,country,birthday
atp_126125,Maxime Janvier,U,FRA,10/18/1996
atp_126127,Benjamin Bonzi,U,FRA,6/9/1996
atp_126156,Antonie Hoang,R,FRA,11/4/1995
atp_126203,Taylor Harry Fritz,R,USA,10/28/1997
atp_126205,Tommy Paul,R,USA,5/17/1997
atp_126207,Frances Tiafoe,R,USA,1/20/1998
atp_126535,Carlos Taberner,R,ESP,8/8/1997
atp_126610,Matteo Berrettini,U,ITA,4/12/1996
atp_126652,Jay Clarke,R,GBR,7/27/1998
atp_126774,Stefanos Tsitsipas,R,GRE,8/12/1998
atp_126952,Soon Woo Kwon,R,KOR,12/2/1997
atp_128034,Hubert Hurkacz,R,POL,2/11/1997
atp_132283,Lorenzo Sonego,R,ITA,5/11/1995
atp_133430,Denis Shapovalov,L,CAN,4/15/1999
atp_134770,Casper Ruud,R,NOR,12/22/1998
atp_136440,Dominik Koepfer,L,GER,4/29/1994
atp_144707,Mikael Ymer,R,SWE,9/9/1998
atp_144719,Jaume Munar,U,ESP,5/5/1997
atp_144750,Lloyd George Muirhead Harris,R,RSA,2/24/1997
atp_144895,Corentin Moutet,L,FRA,4/19/1999
atp_144972,Geoffrey Blancaneaux,R,FRA,8/8/1998
atp_200000,Felix Auger Aliassime,R,CAN,8/8/2000
atp_200005,Ugo Humbert,L,FRA,6/26/1998
atp_200175,Miomir Kecmanovic,R,SRB,8/31/1999
atp_200221,Alejandro Davidovich Fokina,U,ESP,6/5/1999
atp_200282,Alex De Minaur,R,AUS,2/17/1999
atp_200484,Rudolf Molleker,R,GER,10/26/2000
atp_200516,Patrick Kypson,U,USA,10/28/1999
atp_200611,Elliot Benchetrit,U,FRA,10/2/1998
atp_200615,Alexei Popyrin,U,AUS,8/5/1999
atp_202385,Jenson Brooksby,U,USA,10/26/2000
atp_206173,Jannik Sinner,U,ITA,8/16/2001
atp_206703,Paul Jubb,R,GBR,10/31/1999
atp_208260,Zachary Svajda,U,USA,11/29/2002
atp_105227,Marin Cilic,R,CRO,9/28/1988
